Òèï óñòğîéñòâà;	   ÌÊ0;	 ÌÊ1;   ÌÊ2;

tu            ;	  2004;	2002;  2003;
ts      	  ;   1004;	1002;  1003;
tu            ;	  2010;	2008;  2009;
ts            ;	  1010;	1008;  1009;
tu            ;	  2016;	2014;  2015;
ts            ;	  1016;	1014;  1015;
tu            ;	  2022;	2020;  2021;
ts            ;	  1022;	1020;  1021;
tu            ;	  2028;	2026;  2027;
ts            ;	  1028;	1026;  1027;
tu            ;	  2034;	2032;  2033;
ts            ;	  1034;	1032;  1033;
tu            ;	  2040;	2038;  2039;
ts            ;	  1040;	1038;  1039;
tu            ;	  2046;	2044;  2045;
ts            ;	  1046;	1044;  1045;
tu            ;	  2052;	2050;  2051;
ts            ;	  1052;	1050;  1051;
tu            ;	  2058;	2056;  2057;
ts            ;	  1058;	1056;  1057;
tu            ;	  2064;	2062;  2063;
ts            ;	  1064;	1062;  1063;
tu            ;	  2070;	2068;  2069;
ts            ;	  1070;	1068;  1069;
tu            ;	  2076;	2074;  2075;
ts            ;	  1076;	1074;  1075;
tu            ;	  2082;	2080;  2081;
ts            ;	  1082;	1080;  1081;
tu            ;	  2088;	2086;  2087;









































































































































